ccode1,ccode2,year,imp,places,currency,country1,country2
420,2,1920,229029,1,Pounds,Gambia,United States
420,2,1921,48315,1,Pounds,Gambia,United States
420,2,1922,39850,1,Pounds,Gambia,United States
420,2,1923,41349,1,Pounds,Gambia,United States
420,2,1924,34822,1,Pounds,Gambia,United States
420,2,1925,28694,1,Pounds,Gambia,United States
420,2,1926,26831,1,Pounds,Gambia,United States
420,2,1927,46426,1,Pounds,Gambia,United States
420,2,1928,56601,1,Pounds,Gambia,United States
420,2,1929,39562,1,Pounds,Gambia,United States
420,2,1930,36412,1,Pounds,Gambia,United States
420,2,1931,20907,1,Pounds,Gambia,United States
420,2,1932,17733,1,Pounds,Gambia,United States
420,2,1933,13580,1,Pounds,Gambia,United States
420,2,1934,13324,1,Pounds,Gambia,United States
420,2,1935,17321,1,Pounds,Gambia,United States
420,2,1936,16775,1,Pounds,Gambia,United States
420,2,1937,21372,1,Pounds,Gambia,United States
420,2,1938,9699,1,Pounds,Gambia,United States
420,4,1920,0,1,Pounds,Gambia,Hawaii
420,4,1921,0,1,Pounds,Gambia,Hawaii
420,4,1922,0,1,Pounds,Gambia,Hawaii
420,4,1923,0,1,Pounds,Gambia,Hawaii
420,4,1924,0,1,Pounds,Gambia,Hawaii
420,4,1925,0,1,Pounds,Gambia,Hawaii
420,4,1926,0,1,Pounds,Gambia,Hawaii
420,4,1927,0,1,Pounds,Gambia,Hawaii
420,4,1928,0,1,Pounds,Gambia,Hawaii
420,4,1929,0,1,Pounds,Gambia,Hawaii
420,4,1930,0,1,Pounds,Gambia,Hawaii
420,4,1931,0,1,Pounds,Gambia,Hawaii
420,4,1932,6,1,Pounds,Gambia,Hawaii
420,4,1933,0,1,Pounds,Gambia,Hawaii
420,4,1934,0,1,Pounds,Gambia,Hawaii
420,4,1935,20,1,Pounds,Gambia,Hawaii
420,4,1936,21,1,Pounds,Gambia,Hawaii
420,4,1937,2,1,Pounds,Gambia,Hawaii
420,4,1938,0,1,Pounds,Gambia,Hawaii
420,20,1920,0,1,Pounds,Gambia,Canada
420,20,1921,0,1,Pounds,Gambia,Canada
420,20,1922,16,1,Pounds,Gambia,Canada
420,20,1923,0,1,Pounds,Gambia,Canada
420,20,1924,193,1,Pounds,Gambia,Canada
420,20,1925,48,1,Pounds,Gambia,Canada
420,20,1926,97,1,Pounds,Gambia,Canada
420,20,1927,0,1,Pounds,Gambia,Canada
420,20,1928,0,1,Pounds,Gambia,Canada
420,20,1929,0,1,Pounds,Gambia,Canada
420,20,1930,155,1,Pounds,Gambia,Canada
420,20,1931,0,1,Pounds,Gambia,Canada
420,20,1932,2578,1,Pounds,Gambia,Canada
420,20,1933,2827,1,Pounds,Gambia,Canada
420,20,1934,3167,1,Pounds,Gambia,Canada
420,20,1935,8232,1,Pounds,Gambia,Canada
420,20,1936,10452,1,Pounds,Gambia,Canada
420,20,1937,17987,1,Pounds,Gambia,Canada
420,20,1938,5974,1,Pounds,Gambia,Canada
420,40,1920,0,1,Pounds,Gambia,Cuba
420,40,1921,0,1,Pounds,Gambia,Cuba
420,40,1922,0,1,Pounds,Gambia,Cuba
420,40,1923,0,1,Pounds,Gambia,Cuba
420,40,1924,0,1,Pounds,Gambia,Cuba
420,40,1925,37,1,Pounds,Gambia,Cuba
420,40,1926,35,1,Pounds,Gambia,Cuba
420,40,1927,22,1,Pounds,Gambia,Cuba
420,40,1928,18,1,Pounds,Gambia,Cuba
420,40,1929,22,1,Pounds,Gambia,Cuba
420,40,1930,0,1,Pounds,Gambia,Cuba
420,40,1931,21,1,Pounds,Gambia,Cuba
420,40,1932,0,1,Pounds,Gambia,Cuba
420,40,1933,0,1,Pounds,Gambia,Cuba
420,40,1934,0,1,Pounds,Gambia,Cuba
420,40,1935,0,1,Pounds,Gambia,Cuba
420,40,1936,0,1,Pounds,Gambia,Cuba
420,40,1937,0,1,Pounds,Gambia,Cuba
420,40,1938,6,1,Pounds,Gambia,Cuba
420,51,1920,0,1,Pounds,Gambia,Jamaica
420,51,1921,0,1,Pounds,Gambia,Jamaica
420,51,1922,0,1,Pounds,Gambia,Jamaica
420,51,1923,0,1,Pounds,Gambia,Jamaica
420,51,1924,0,1,Pounds,Gambia,Jamaica
420,51,1925,22,1,Pounds,Gambia,Jamaica
420,51,1926,0,1,Pounds,Gambia,Jamaica
420,51,1927,0,1,Pounds,Gambia,Jamaica
420,51,1928,0,1,Pounds,Gambia,Jamaica
420,51,1929,0,1,Pounds,Gambia,Jamaica
420,51,1930,0,1,Pounds,Gambia,Jamaica
420,51,1931,0,1,Pounds,Gambia,Jamaica
420,51,1932,0,1,Pounds,Gambia,Jamaica
420,51,1933,0,1,Pounds,Gambia,Jamaica
420,51,1934,0,1,Pounds,Gambia,Jamaica
420,51,1935,0,1,Pounds,Gambia,Jamaica
420,51,1936,0,1,Pounds,Gambia,Jamaica
420,51,1937,0,1,Pounds,Gambia,Jamaica
420,51,1938,0,1,Pounds,Gambia,Jamaica
420,52,1920,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1921,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1922,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1923,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1924,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1925,6,1,Pounds,Gambia,Trinidad And Tobago
420,52,1926,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1927,15,1,Pounds,Gambia,Trinidad And Tobago
420,52,1928,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1929,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1930,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1931,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1932,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1933,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1934,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1935,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1936,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1937,0,1,Pounds,Gambia,Trinidad And Tobago
420,52,1938,0,1,Pounds,Gambia,Trinidad And Tobago
420,58,1920,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1921,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1922,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1923,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1924,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1925,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1926,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1927,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1928,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1929,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1930,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1931,5,1,Pounds,Gambia,Antigua And Barbuda
420,58,1932,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1933,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1934,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1935,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1936,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1937,0,1,Pounds,Gambia,Antigua And Barbuda
420,58,1938,0,1,Pounds,Gambia,Antigua And Barbuda
420,68,1920,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1921,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1922,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1923,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1924,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1925,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1926,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1927,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1928,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1929,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1930,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1931,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1932,0,1,Pounds,Gambia,Netherlands Antilles
420,68,1933,284,1,Pounds,Gambia,Netherlands Antilles
420,68,1934,129,1,Pounds,Gambia,Netherlands Antilles
420,68,1935,1748,1,Pounds,Gambia,Netherlands Antilles
420,68,1936,1122,1,Pounds,Gambia,Netherlands Antilles
420,68,1937,1310,1,Pounds,Gambia,Netherlands Antilles
420,68,1938,1591,1,Pounds,Gambia,Netherlands Antilles
420,70,1920,0,1,Pounds,Gambia,Mexico
420,70,1921,0,1,Pounds,Gambia,Mexico
420,70,1922,0,1,Pounds,Gambia,Mexico
